## opening file [C100_FS.ttbar_pu200.AOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:C100_FS.ttbar_pu200.AOD.pool.root
Size:  1488492.204 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
     194.459 kb       32.109 kb        0.321 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.hasValidTime
     120.645 kb       35.297 kb        0.353 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.truthParticleLink
      41.101 kb       36.914 kb        0.369 kb        0.000      100  (B) PrimaryVerticesAuxDyn.sumPt2
     194.518 kb       42.223 kb        0.422 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfHGTDHits
      78.397 kb       52.859 kb        0.529 kb        0.000      100  (B) EventInfoAuxDyn.mcEventWeights
     769.138 kb       61.672 kb        0.617 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.timeResolution
     194.752 kb       67.066 kb        0.671 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfContribPixelBarrelLayers
     194.620 kb       74.962 kb        0.750 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfPixelBarrelHits
     194.825 kb       77.366 kb        0.774 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfInnermostPixelLayerEndcapHits
    4781.424 kb       78.088 kb        0.781 kb        0.000      100  (B) EventInfoAuxDyn.subEventLink
    1533.731 kb       80.434 kb        0.804 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.HGTD_has_extension
    4966.646 kb       86.603 kb        0.866 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.truthType
     194.913 kb       88.079 kb        0.881 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerEndcapHits
     194.664 kb       95.967 kb        0.960 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfContribPixelEndcap
     194.620 kb      106.630 kb        1.066 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfPixelEndcapHits
     769.302 kb      118.520 kb        1.185 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.truthMatchProbability
    4966.890 kb      134.554 kb        1.346 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.truthClassification
    9447.001 kb      144.301 kb        1.443 kb        0.000      100  (B) TruthEventsAux.
    1246.204 kb      144.364 kb        1.444 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfInnermostPixelLayerEndcapHits
     768.903 kb      174.484 kb        1.745 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.time
   93775.367 kb      176.238 kb        1.762 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.phi_module
    1245.862 kb      191.394 kb        1.914 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfPixelBarrelHits
    1245.862 kb      191.397 kb        1.914 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfPixelEndcapHits
    1245.936 kb      191.463 kb        1.915 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfContribPixelEndcap
   88235.660 kb      197.594 kb        1.976 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.phi_module
    1246.082 kb      209.250 kb        2.092 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfContribPixelBarrelLayers
    1198.468 kb      222.527 kb        2.225 kb        0.000      100  (B) EventInfoAuxDyn.subEventIndex
    1246.351 kb      243.808 kb        2.438 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerEndcapHits
    3827.401 kb      388.507 kb        3.885 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.HGTD_extension_chi2
    4966.938 kb      425.228 kb        4.252 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.truthMatchProbability
    1534.294 kb      447.746 kb        4.477 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.truthParticleLink
  187546.077 kb      991.632 kb        9.916 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.detectorElementID
    4336.550 kb     1030.673 kb       10.307 kb        0.000      100  (B) PrimaryVerticesAux.
   93775.367 kb     1229.184 kb       12.292 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.eta_module
    3104.109 kb     1314.762 kb       13.148 kb        0.000      100  (B) InDetLargeD0TrackParticlesAux.
    9928.927 kb     1437.806 kb       14.378 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.truthParticleLink
   29604.833 kb     1979.153 kb       19.792 kb        0.000      100  (B) TruthParticlesAuxDyn.origTruthIndex
   93775.416 kb     2132.963 kb       21.330 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.LorentzShift
   88235.660 kb     2861.922 kb       28.619 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.eta_module
  176466.663 kb     3262.108 kb       32.621 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.detectorElementID
   88235.514 kb     3464.201 kb       34.642 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.side
   93775.294 kb     7419.958 kb       74.200 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.sizePhi
   93775.294 kb     7419.958 kb       74.200 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.SiWidth
  436669.901 kb     7482.694 kb       74.827 kb        0.000      100  (B) TruthPileupEventsAux.
   88235.587 kb     7586.060 kb       75.861 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.sizePhi
   88235.587 kb     7586.060 kb       75.861 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.SiWidth
   93775.245 kb     8029.675 kb       80.297 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.sizeZ
   39643.411 kb    16196.563 kb      161.966 kb        0.000      100  (B) InDetTrackParticlesAux.
  118395.171 kb    17280.987 kb      172.810 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.truth_barcode
   93775.270 kb    17780.703 kb      177.807 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.omegax
   93775.270 kb    19171.867 kb      191.719 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.omegay
  118395.122 kb    19302.806 kb      193.028 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.truth_index
  140084.499 kb    25355.979 kb      253.560 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.truth_barcode
  140084.450 kb    29230.931 kb      292.309 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.truth_index
   93775.440 kb    32707.120 kb      327.071 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.centroid_xphi
   93775.440 kb    37422.499 kb      374.225 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.centroid_xeta
  367711.658 kb    46521.830 kb      465.218 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.tots
  561618.284 kb    50710.679 kb      507.107 kb        0.000      100  (B) TruthVerticesAux.
  256838.649 kb    85928.374 kb      859.284 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAux.
  355222.172 kb   105715.548 kb     1057.155 kb        0.000      100  (B) TruthParticlesAux.
 1302164.374 kb   380161.248 kb     3801.612 kb        0.000      100  (B) ITkStripMeasurements_offlAux.
 1579367.964 kb   534211.102 kb     5342.111 kb        0.000      100  (B) ITkPixelMeasurements_offlAux.
================================================================================
 8505287.288 kb  1488435.368 kb    14884.354 kb        0.000      100  TOTAL (POOL containers)
================================================================================
## Bye.
